City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
201,jabor,5.921,169.6434,301.07,83,100,10.06,MH,1702407881
202,al jawf,29.5,38.75,288.13,63,12,5.4,SA,1702407881
203,vila velha,-20.3297,-40.2925,300.12,83,75,7.6,BR,1702407757
204,trairi,-3.2778,-39.2689,302.7,60,4,6.82,BR,1702407864
205,hinatuan,8.3722,126.3342,298.24,89,48,2.01,PH,1702407882
206,kribi,2.95,9.9167,299.96,83,100,2.89,CM,1702407882
207,vallegrande,-18.4897,-64.1069,300.25,42,36,5.1,BO,1702407882
208,emerald,-23.5333,148.1667,293.9,83,0,5.24,AU,1702407883
209,haiku-pauwela,20.9219,-156.3051,297.16,78,40,5.66,US,1702407883
210,college,64.8569,-147.8028,258.96,86,75,0.0,US,1702407602
211,bubaque,11.2833,-15.8333,301.02,62,4,5.17,GW,1702407883
212,margate,51.3813,1.3862,282.54,91,84,3.58,GB,1702407884
213,san francisco,37.7749,-122.4194,287.93,84,40,2.06,US,1702407746
214,severo-yeniseyskiy,60.3725,93.0408,234.03,100,58,0.45,RU,1702407884
215,fortuna,40.5982,-124.1573,284.07,100,100,0.0,US,1702407884
216,don sak,9.3168,99.6918,299.13,84,100,2.89,TH,1702407884
217,digne-les-bains,44.0833,6.25,281.85,92,100,1.44,FR,1702407884
218,zalanga,10.6143,10.1765,292.8,26,0,2.4,NG,1702407885
219,saipan,15.1355,145.701,299.54,78,20,5.14,MP,1702407885
220,la foa,-21.7108,165.8276,296.18,73,16,2.28,NC,1702407885
221,tarawa,1.419,172.984,300.2,89,20,1.03,KI,1702407737
222,grand falls-windsor,48.9332,-55.6649,276.21,72,66,1.79,CA,1702407886
223,tanjung pandan,-2.75,107.65,299.15,85,56,1.68,ID,1702407886
224,puerto carreno,6.189,-67.4859,308.14,49,20,3.6,CO,1702407886
225,san juan de miraflores,-12.1629,-76.9635,295.44,75,76,3.85,PE,1702407886
226,puerto colombia,10.9878,-74.9547,304.2,73,2,9.42,CO,1702407886
227,tarfaya,27.9358,-12.9218,293.73,62,0,6.24,MA,1702407886
228,hasaki,35.7333,140.8333,282.2,63,100,12.9,JP,1702407887
229,harstad,68.799,16.5293,269.9,81,54,2.89,NO,1702407887
230,xilin hot,43.9667,116.0333,254.89,98,57,2.57,CN,1702407887
231,ayaviri,-14.8864,-70.5889,289.58,43,94,3.08,PE,1702407887
232,holualoa,19.6228,-155.9522,297.47,70,20,3.09,US,1702407888
233,tura,25.5198,90.2201,289.01,84,100,0.86,IN,1702407888
234,ostrovskoye,57.8057,42.2433,262.54,93,100,6.03,RU,1702407888
235,tawau,4.2498,117.8871,298.22,86,96,1.89,MY,1702407888
236,poli,-3.3333,36.8,291.58,83,20,2.57,TZ,1702407888
237,tindouf,27.6711,-8.1474,293.4,24,0,2.06,DZ,1702407742
238,torquay,50.4638,-3.5143,282.92,91,12,2.24,GB,1702407889
239,lubang,13.8584,120.124,300.66,81,36,9.84,PH,1702407889
240,salym,60.0625,71.4789,251.66,83,100,4.6,RU,1702407890
241,tongging,2.8969,98.5262,293.93,94,100,0.49,ID,1702407890
242,dunay,42.8803,132.3375,264.85,50,7,8.11,RU,1702407890
243,jalai nur,49.45,117.7,239.32,97,6,1.36,CN,1702407890
244,talnakh,69.4865,88.3972,246.04,95,99,4.77,RU,1702407890
245,sitka,57.0531,-135.33,277.26,91,100,5.82,US,1702407662
246,ladnun,27.65,74.3833,289.13,26,8,3.21,IN,1702407891
247,mejit,10.2753,170.8646,300.45,79,100,10.45,MH,1702407891
248,jiagedaqi,50.4167,124.1167,244.53,95,5,1.56,CN,1702407892
249,sant'antioco,39.0664,8.4522,289.13,88,21,0.71,IT,1702407892
250,blenheim,-41.516,173.9528,285.11,78,4,0.45,NZ,1702407892
251,bilibino,68.0546,166.4372,252.73,95,100,1.76,RU,1702407892
252,yuzhno-kurilsk,44.0306,145.8556,273.91,76,23,10.11,RU,1702407892
253,freetown,8.484,-13.2299,302.99,74,20,3.09,SL,1702407893
254,bridgewater,44.3835,-64.5155,278.94,60,2,6.69,CA,1702407716
255,rio san juan,19.6439,-70.0763,303.24,72,100,4.88,DO,1702407893
256,bikenibeu village,1.3673,173.1241,300.13,89,75,1.03,KI,1702407893
257,la paz,-16.5,-68.15,289.03,57,75,4.12,BO,1702407612
258,peniche,39.3558,-9.3811,287.75,86,100,5.31,PT,1702407894
259,suva,-18.1416,178.4415,295.86,94,75,1.54,FJ,1702407782
260,bijie,27.3125,105.2942,284.8,90,0,3.7,CN,1702407894
261,cheboksary,56.1322,47.2519,256.48,66,20,8.94,RU,1702407894
262,coahuayana de hidalgo,18.7,-103.6583,305.3,38,11,1.73,MX,1702407894
263,khandyga,62.6667,135.6,240.21,99,100,0.83,RU,1702407894
264,mogocha,53.7333,119.7667,238.44,98,17,1.27,RU,1702407895
265,kayenta,36.7278,-110.2546,278.7,27,100,1.28,US,1702407895
266,hailey,43.5196,-114.3153,276.93,69,40,4.12,US,1702407895
267,djibo,14.1022,-1.6306,296.44,16,0,4.48,BF,1702407895
268,veraval,20.9,70.3667,295.31,49,88,3.42,IN,1702407896
269,aasiaat,68.7098,-52.8699,265.11,73,100,3.51,GL,1702407800
270,leava,-14.3,-178.1667,300.4,67,100,4.75,WF,1702407896
271,keflavik,64.0049,-22.5624,275.39,93,100,10.29,IS,1702407896
272,kingscliff,-28.2667,153.5667,294.11,94,61,0.0,AU,1702407896
273,banka,24.8833,86.9167,289.49,42,0,1.76,IN,1702407897
274,saldanha,-33.0117,17.9442,289.18,68,0,13.01,ZA,1702407897
275,dampit,-8.2116,112.7493,295.02,98,59,0.27,ID,1702407897
276,gizo,-8.103,156.8419,300.06,76,63,1.57,SB,1702407897
277,nuriootpa,-34.4833,139.0,292.58,77,0,3.19,AU,1702407898
278,hadibu,12.65,54.0333,297.61,72,97,3.8,YE,1702407898
279,longyearbyen,78.2186,15.6401,263.06,67,75,1.03,SJ,1702407898
280,cabo san lucas,22.8909,-109.9124,301.82,53,40,1.54,MX,1702407898
281,montereau-fault-yonne,48.3833,2.95,285.08,83,61,7.12,FR,1702407898
282,bouca,6.5105,18.2733,297.66,27,100,1.13,CF,1702407898
283,renqiu,38.6989,116.0936,269.72,91,100,2.07,CN,1702407899
284,siwa oasis,29.2041,25.5195,288.54,57,0,3.7,EG,1702407899
285,norfolk,42.1668,-71.2495,280.19,51,0,6.17,US,1702407899
286,afaahiti,-17.75,-149.2833,302.08,84,97,9.28,PF,1702407899
287,el alto,-4.2714,-81.2147,300.96,67,94,6.16,PE,1702407900
288,ha'il,27.5219,41.6907,287.16,94,75,2.06,SA,1702407900
289,ust-nera,64.5667,143.2,250.49,99,100,3.47,RU,1702407900
290,utrik,11.2278,169.8474,299.68,78,100,9.6,MH,1702407901
291,quillacollo,-17.4,-66.2833,303.19,28,20,4.12,BO,1702407901
292,nyagan,62.1406,65.3936,253.43,80,98,4.92,RU,1702407901
293,nieves,15.3274,120.9485,299.88,82,12,1.55,PH,1702407902
294,opuwo,-18.0607,13.84,300.02,23,63,3.79,NA,1702407902
295,okhotsk,59.3833,143.3,257.84,97,100,5.22,RU,1702407902
296,kenai,60.5544,-151.2583,269.9,86,100,1.54,US,1702407902
297,chivacoa,10.1603,-68.895,301.94,68,71,2.31,VE,1702407903
298,bayganin,48.6947,55.8742,254.84,56,88,9.23,KZ,1702407904
299,kelibia,36.8476,11.0939,291.29,88,0,1.54,TN,1702407905
300,kununurra,-15.7667,128.7333,301.14,78,100,0.0,AU,1702407891
301,minot,48.2325,-101.2963,269.27,54,100,6.17,US,1702407838
302,vorkuta,67.5,64.0,255.74,96,100,5.57,RU,1702407906
